bto_code,species_name
AC,Arctic Skua
AE,Arctic Tern
AF,Little Tern
AK,Spotted Crake
AV,Avocet
B.,Blackbird
BA,Bar-tailed Godwit
BC,Blackcap
BF,Bullfinch
BG,Brent Goose
BH,Black-headed Gull
BI,Bittern
BJ,Black Tern
BK,Black Grouse
BL,Brambling
BN,Black-necked Grebe
BO,Barn Owl
BR,Bearded Tit
BS,Berwicks Swan
BT,Blue Tit
BU,Bluethroat
BV,Black-throated Diver
BW,Black-tailed Godwit
BX,Black Redstart
BY,Barnacle Goose
BZ,Buzzard
C.,Carrion Crow
CA,Cormorant
CB,Corn Bunting
CC,Chiffchaff
CD,Collared Dove
CE,Corncrake
CF,Chough
CG,Canada Goose
CH,Chaffinch
CI,Crested Tit
CK,Cuckoo
CL,Cirl Bunting
CM,Common Gull
CN,Common Tern
CO,Coot
CP,Capercaillie
CR,Crossbill (Common)
CS,Common Sandpiper
CT,Coal Tit
CU,Curlew
CW,Cettis Warbler
CX,Common Scoter
CY,Scottish Crossbill
D.,Dunnock
DI,Dipper
DN,Dunlin
DO,Dotterel
DR,Spotted Redshank
DV,Rock Dove (not feral)
DW,Dartford Warbler
E.,Eider
EA,Golden Eagle
ED,Red-backed Shrike
EG,Egyptian Goose
ET,Little Egret
F.,Fulmar
FC,Firecrest
FF,Fieldfare
FP,Feral Pigeon
FV,Red-footed Falcon
FW,Guineafowl (Helmeted)
G.,Green Woodpecker
GA,Gadwall
GB,Great Black-backed Gull
GC,Goldcrest
GD,Goosander
GE,Green Sandpiper
GF,Golden Pheasant
GG,Great Crested Grebe
GH,Grasshopper Warbler
GI,Goshawk
GJ,Greylag Goose
GK,Greenshank
GL,Grey Wagtail
GN,Goldeneye
GO,Goldfinch
GP,Golden Plover
GR,Greenfinch
GS,Great Spotted Woodpecker
GT,Great Tit
GU,Guillemot
GV,Grey Plover
GW,Garden Warbler
GX,Gannet
GY,Garganey
H.,Grey Heron
HC,Hooded Crow
HF,Hawfinch
HG,Herring Gull
HH,Hen Harrier
HM,House Martin
HP,Hoopoe
HS,House Sparrow
HY,Hobby
HZ,Honey Buzzard
J.,Jay
JD,Jackdaw
K.,Kestrel
KF,Kingfisher
KI,Kittiwake
KN,Knot
KT,Red Kite
L.,Lapwing
LA,Lapland Bunting
LB,Lesser Black-backed Gull
LE,Long-eared Owl
LG,Little Grebe
LI,Linnet
LM,Lady Amhersts Pheasant
LO,Little Owl
LP,Little Ringed Plover
LR,Redpoll (Lesser)
LS,Lesser Spotted Woodpecker
LT,Long-tailed Tit
LU,Little Gull
LW,Lesser Whitethroat
M.,Mistle Thrush
MA,Mallard
MG,Magpie
MH,Moorhen
ML,Merlin
MN,Mandarin Duck
MO,Montagus Harrier
MP,Meadow Pipit
MR,Marsh Harrier
MS,Mute Swan
MT,Marsh Tit
MU,Mediterranean Gull
MW,Marsh Warbler
MX,Manx Shearwater
N.,Nightingale
ND,Great Northern Diver
NH,Nuthatch
NJ,Nightjar
NK,Red-necked Phalarope
NS,Serin
NX,Great Skua
OC,Oystercatcher
OD,Wood Sandpiper
OL,Golden Oriole
OP,Osprey
P.,Grey Partridge
PE,Peregrine
PF,Pied Flycatcher
PG,Pink-footed Goose
PH,Pheasant
PM,Ptarmigan
PO,Pochard
PS,Purple Sandpiper
PT,Pintail
PU,Puffin
PW,Pied Wagtail
PX,Peafowl/Peacock
Q.,Quail
R.,Robin
RA,Razorbill
RB,Reed Bunting
RC,Rock Pipit
RE,Redwing
RG,Red Grouse
RH,Red-throated Diver
RI,Ring-necked Parakeet
RK,Redshank
RL,Red-legged Partridge
RM,Red-breasted Merganser
RN,Raven
RO,Rook
RP,Ringed Plover
RQ,Red-crested Pochard
RS,Roseate Tern
RT,Redstart
RU,Ruff
RW,Reed Warbler
RY,Ruddy Duck
RZ,Ring Ouzel
S.,Skylark
SA,Shag
SB,Snow Bunting
SC,Stonechat
SD,Stock Dove
SE,Short-eared Owl
SF,Spotted Flycatcher
SG,Starling
SH,Sparrowhawk
SI,Swift
SK,Siskin
SL,Swallow
SM,Sand Martin
SN,Snipe
SP,Scaup
SQ,Scarlet Rosefinch
SS,Sanderling
ST,Song Thrush
SU,Shelduck
SV,Shoveler
SW,Sedge Warbler
SX,Shorelark
SZ,Slavonian Grebe
T.,Teal
TC,Treecreeper
TD,Turtle Dove
TE,Sandwich Tern
TK,Temmincks Stint
TL,Leachs Petrel
TM,Storm Petrel
TN,Stone-curlew
TO,Tawny Owl
TP,Tree Pipit
TS,Tree Sparrow
TT,Turnstone
TU,Tufted Duck
TW,Twite
TY,Black Guillemot
VI,Savis Warbler
W.,Wheatear
WA,Water Rail
WC,Whinchat
WG,White-fronted Goose
WH,Whitethroat
WK,Woodcock
WL,Woodlark
WM,Whimbrel
WN,Wigeon
WO,Wood Warbler
WP,Woodpigeon
WR,Wren
WS,Whooper Swan
WT,Willow Tit
WW,Willow Warbler
WY,Wryneck
Y.,Yellowhammer
YW,Yellow Wagtail
ZF,Feral/hybrid mallard type
ZL,Feral/hybrid goose
